SMILES,BA_predicted,LogP,QED,TPSA,MW,HBD,HBA,RotBonds
CCOc1ccc(-c2ccccc2-c2ccc(S(=O)(=O)c3ccc(N4Cc5ccc(N(=O)=O)cc5C4=O)cc3)cc2)cc1,-8.9725,7.321,0.138,106.82,590.66,0,6,8
CCCCC(C)C(=O)NCc1cccc(C(=O)c2ccc(-c3ccc(C4OC(=O)C4c4ccc(C(C)=O)cc4)cc3)cc2)c1,-8.9158,7.611,0.136,89.54,587.72,1,5,12
NC1Cc2cn(Cc3ccccc3)cc2C(c2ccc(S(=O)(=O)c3ccc(C(=O)c4ccc(C(=O)Nc5ccc(Cl)c(Cl)c5)cc4)cc3)cc2)C1,-8.9053,8.565,0.145,111.26,734.71,2,5,9
COc1ccc2nc(-c3ccc(C(C)=O)cc3)c3ccc(cc3n2)c1C(=O)c1ccccc1,-8.879,5.767,0.375,69.15,432.48,0,5,5
CCOC(=O)c1ccc(S(=O)(=O)C2OC(=O)c3cccc(Oc4ccc(C(=O)c5ccc(c6cccc7ccccc76)cc5)cc4)c3C2C(=O)NCc2ccccc2)cc1,-8.8584,9.077,0.094,142.14,815.9,1,9,12
COc1ccccc1NC(Cc1cccc(-c2ccc(S(=O)(=O)c3ccc(C(=S)OCCCN4C(=O)c5ccccc5N=C4c4ccc(-c5ccccc5)cc4)cc3)cc2)c1)C(=O)C1CCCCC1,-8.8365,12.194,0.07,116.59,952.21,1,9,17
Cc1cc(S(=O)(=O)c2ccc(C(=O)c3ccccc3)cc2)ccc1-c1ccc(S(=O)(=O)c2ccc(C(=O)c3cccc(-c4nc(N(=O)=O)ccc4Cl)c3)cc2)cc1,-8.8207,9.413,0.07,158.45,813.31,0,9,11
COCc1cc(C(=O)c2ccccc2)cc(C(=O)c2ccc(S(=O)(=O)c3ccc(-c4ccc(C(=N)c5ccc6c(c5)C(C(C)C)=CC(=O)O6)cc4)cc3)cc2)c1OC,-8.791,9.449,0.069,140.8,789.91,1,9,13
COc1cc(S(=O)(=O)c2ccc(-n3nnnc3C(N)c3ccccc3)cc2)ccc1OCC(=O)Nc1cccc(C(=O)c2ccc(-c3cccc(N(=O)=O)c3)cc2)c1,-8.7246,6.376,0.07,211.53,795.83,2,12,14
NS(=O)(=O)c1ccc(C(=O)c2ccc(-c3ccc(C(=O)c4ccccc4CSc4nc(S(=O)(=O)c5ccccc5)ccc4C(=O)Nc4ccccc4)cc3)cc2)cc1,-8.6835,8.235,0.086,170.43,823.97,2,9,13
CC(=O)CCCc1ccc(S(=O)(=O)c2ccc(S(=O)(=O)c3ccc(-c4ccc(C(=O)c5ccc(C(=O)c6ccc(-c7ccccc7C)cc6)cc5)cc4)cc3)cc2)cc1,-8.6825,10.368,0.1,119.49,817.0,0,7,14
COc1ccc(C(=O)c2ccc(NS(=O)(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)C(=NN(C(=O)O)c4ccccc4)C5c4ccc(OC)cc4)cc3)cc2)cc1,-8.669,7.835,0.093,168.74,779.83,2,9,12
O=C(NCc1ccccc1C(=O)Nc1ccc(C(=O)c2cccc(S(=O)(=O)c3ccc(S(=O)(=O)c4ccc(-c5ccccc5)cc4)cc3)c2)cc1)c1cccc(-c2ccccc2)c1,-8.6622,10.099,0.11,143.55,867.02,2,7,13
O=C(O)c1ccc(C2=Nc3ccccc3C(=O)N2Cc2ccc(-c3ccc(C(=O)c4ccc(N5CCCC5=O)cc4)cc3)cc2)cc1,-8.6482,6.835,0.187,109.57,619.68,1,5,8
Cc1ccc(S(=O)(=O)c2ccccc2C(=O)c2ccc(C(=O)c3cc(C(=O)c4cccc(C(=O)Nc5ccc(Cc6ccc(Cl)cc6)cc5)c4)ccc3NC(=O)c3ccccc3)cc2)cc1,-8.6475,11.27,0.103,143.55,907.44,2,7,14
