SMILES,BA_predicted,LogP,QED,TPSA,MW,HBD,HBA,RotBonds
N=C1C(C(=O)c2ccc(Cl)cc2)=C1c1cn(CCS)c2ccccc12,-8.6122,4.478,0.397,45.85,366.87,2,3,5
CC1OC(=O)c2ccccc2N=[N+]Cc2ccccc2C1=O,-8.2323,3.048,0.701,69.83,294.31,0,5,0
CC(=O)Nc1cccc(Oc2cc3c(c(O)c2C(=O)Nc2ccc(S(=O)(=O)N4CCOCC4)cc2)C(=O)N(Cc2ccccc2)C3=O)c1,-8.1527,4.212,0.221,171.65,670.7,3,9,9
O=C1CC2CC(NC(=O)n3cc(NC(=O)c4ccc(Cl)cc4)c4ccccc43)CCC(C2)O1,-8.0217,4.979,0.534,89.43,465.94,2,4,3
CCOc1cccc(N2c3nc(-c4ccc(C(C)C)nc4)sc3C(=O)C2CC(=O)NCc2ccccc2)c1,-7.9826,6.137,0.282,84.42,526.66,1,7,9
COC(=O)C(C)C1C(=O)Oc2cc(Oc3cccc(Cl)c3)cc(Cl)c21,-7.9648,4.597,0.572,61.83,381.21,0,5,4
COc1ccccc1C(=O)Nc1ccccc1C(=O)c1ccc2c(c1C)C(=O)c1ccccc1CO2,-7.9404,5.61,0.378,81.7,477.52,1,5,5
OC(Cn1ccc(-c2ccc(Cl)c(Cl)c2)n1)N(Cc1ccccc1)Cc1ccc(CCc2ccccc2)cn1,-7.8349,7.058,0.177,54.18,557.53,1,4,11
CCOCCCOc1ccc(C=Cc2ccccc2C(=O)Nc2ccc(C(=O)c3cccc(C)c3)cc2)cc1,-7.8182,7.454,0.12,64.63,519.64,1,4,12
COc1ccc2c(-c3ccc4ccccc4c3)cc(Cl)c(C=NNc3ccc(C(=O)O)cc3)c2c1,-7.8127,7.466,0.195,70.92,480.95,2,4,6
COc1ccc(CCNC(=O)CC(c2ccc(-c3ccccc3)cc2)S(=O)(=O)c2ccc(C(=O)O)cc2)cc1,-7.7792,5.324,0.265,109.77,543.64,2,5,11
CC1CC(=O)CN2C(=O)C(N3CCC(CSc4nnc(Cc5ccccc5)n4Cc4ccc(F)cc4)CC3)=CCC12,-7.7365,4.954,0.355,71.33,573.74,0,6,8
CCNCC1CCCCCCC1N=CC1=Cc2cccN3c2c(cc3c2ccc(OCCC(F)(F)F)c(C)c2)C1,-7.6949,8.205,0.272,38.03,551.7,1,3,9
COc1cc(C(=O)O)ccc1Nc1nc(c2ccc(N=NCc3ccccc3)cc2)cc2ccc(C(N)=O)nc12,-7.6764,6.13,0.193,152.15,532.56,3,8,9
Cc1cnc(CSC2CCN(C(Cc3ccc4ccccc4c3)C(=O)Nc3ccccc3)CCc3cn(nn3)C2)cc1C,-7.6684,6.243,0.231,75.94,590.8,1,6,8
CSc1ccc(Cl)c(C2=NN(CC(=O)NCC3CCCCC3)C(=O)c3ccc4nc(N(=O)=O)ccc4c32)c1,-7.6396,5.592,0.137,120.02,552.06,1,7,7
Nc1c(-c2ccc(Cl)cn2)c2cccc(O)c2n1C(=O)C=Cc1ccc(Oc2ccccc2)cc1,-7.6062,6.79,0.27,90.37,481.94,2,5,5
O=C1OCC(=NNc2ccccc2)C(c2ccccc2)C1c1ccccc1,-7.5695,4.579,0.55,50.69,356.43,1,4,4
CCS(=O)(=O)Nc1ccccc1Nc1nccc(-c2ccc3c(c2)C(C(C)=O)CN3Cc2ccccc2)n1,-7.5639,5.342,0.303,104.29,527.65,2,7,9
Nc1ccc(Nc2nc3cc(-c4cccc(N(=O)=O)c4)ccc3n2Cc2ccccc2)cc1,-7.5615,5.986,0.194,99.01,435.49,2,5,6
Cc1ccc(S(=O)(=O)CC(Cc2ccc(OCC(C)C)cc2)C(=O)N2CCN(c3c(Cl)cc(N(C)C)cc3C(=O)c3cccc4ccccc34)CC2)cc1,-7.5441,8.115,0.112,87.23,766.4,0,7,13
NS(=O)(=O)c1ccccc1-c1ccc(-c2cc(C(=O)NC(c3ccccc3)c3csnn3)cs2)cc1,-7.5313,5.1,0.303,115.04,532.67,2,7,7
CCCCCCCCCCCOc1ccc(C2=Cc3ccccc3C(NC(C)=O)=C2C(=O)OC(C)C)cc1,-7.5237,8.94,0.161,64.63,517.71,1,4,15
O=C(O)c1ccc(C(=O)C=Cc2ccc(C(=O)O)cc2OC2CCCCC2)cc1,-7.5144,4.691,0.522,100.9,394.42,2,4,7
CN(C)S(=O)(=O)c1ccc2c(c1)C(=O)N(Cc1ccc(C(=O)NCc3ccccc3)cc1)C2,-7.5119,3.023,0.584,86.79,463.56,1,4,7
O=C(Cc1ccc(-c2ccccc2N(=O)=O)cc1)NC(c1ccccc1)c1ccccc1,-7.495,5.71,0.306,72.24,422.48,1,3,7
C[N+]12CCCCCCCCCCCCCC(CC1)ON=C(c1cccc(-c3ccc(-c4ccccc4)cc3)c1)C2,-7.4905,9.655,0.305,21.59,537.81,0,2,3
COC(=O)c1ccc(Nc2ccc(C=NNC(=O)c3ccn(CCCCCC(=O)OCC4(Cc5ccccc5)CC4)c3)cc2)cc1,-7.4696,6.909,0.061,111.02,620.75,2,7,16
O=C(O)C1=NN(c2ccc3ccccc3c2)C(CCc2cc(S(=O)(=O)c3ccccc3)ccc2O)=Cc2ccccc21,-7.4664,6.661,0.225,107.27,574.66,2,6,7
Cc1ccccc1CN(CC(=O)N(C)Cc1cccc(S(=O)(=O)NC2CCCCC2)c1)C(=O)Cc1ccccc1,-7.4616,4.836,0.363,86.79,561.75,1,4,11
