SMILES,BA_predicted,LogP,QED,TPSA,MW,HBD,HBA,RotBonds
Cc1ccc(S(=O)(=O)c2ccc(S(=O)(=O)c3ccc(S(=O)(=O)c4ccc(S(N)(=O)=O)cc4)cc3)cc2)cc1,-7.8898,3.141,0.343,162.58,591.71,1,8,7
Cc1ccc(S(=O)(=O)c2ccc(S(=O)(=O)c3ccc(NC(=O)c4ccc(S(N)(=O)=O)cc4)cc3)cc2)cc1,-7.8863,3.56,0.344,157.54,570.67,2,7,7
Cc1ccc(S(=O)(=O)c2ccc(S(=O)(=O)c3ccc(C(=O)c4ccccc4)cc3)cc2)cc1,-7.8315,4.892,0.37,85.35,476.58,0,5,6
Cc1ccc(S(=O)(=O)c2ccc(S(=O)(=O)c3ccc(S(=O)(=O)c4ccc([SH](N)(N)=O)cc4)cc3)cc2)cc1,-7.728,2.616,0.277,171.53,592.74,3,7,7
CCCc1ccc(S(=O)(=O)c2ccc(S(=O)(=O)c3ccc(S(N)(=O)=O)cc3)cc2)cc1,-7.6112,2.952,0.555,128.44,479.6,1,6,7
Cc1ccc(S(=O)(=O)c2ccc(S(=O)(=O)c3ccc([SH](NS(C)(=O)=O)c4ccc(S(N)(=O)=O)cc4)cc3)cc2)cc1,-7.5499,3.191,0.231,174.61,654.84,3,8,9
Cc1ccc(S(=O)(=O)c2ccc(C(c3ccccc3)c3ccc(S(N)(=O)=O)cc3)cc2)cc1,-7.4246,4.655,0.409,94.3,477.61,1,4,6
Cc1ccc(S(=O)(=O)c2ccc(S(=O)(=O)c3ccc([SH](N)(C(=O)O)(c4ccc(S(N)(=O)=O)cc4)c4cccc(S(N)(=O)=O)c4)cc3)cc2)cc1,-7.3692,4.057,0.133,251.92,777.95,5,10,9
Cc1ccc(S(=O)(=O)c2ccc(S(=O)(=O)c3ccc(S(N)(=O)=O)cc3)cc2)cc1,-7.2714,2.308,0.634,128.44,451.55,1,6,5
Cc1ccc(S(=O)(=O)c2ccc(S(=O)(=O)c3ccc(SS(N)(=O)=O)cc3)cc2)cc1,-7.2065,2.956,0.534,128.44,483.61,1,7,6
Cc1cccc(S(=O)(=O)c2ccc(S(=O)(=O)c3ccc(S(N)(=O)=O)cc3)cc2)c1,-7.1987,2.308,0.634,128.44,451.55,1,6,5
Cc1ccc(S(=O)(=O)c2ccc([SH](c3ccc(S(N)(=O)=O)cc3)c3ccccc3F)cc2)cc1,-7.1971,5.093,0.35,94.3,515.65,2,4,6
Cc1ccc(S(=O)(=O)c2ccc(S(=O)(=O)c3ccc(S(N)(=O)=O)cc3C)cc2)cc1,-7.1962,2.616,0.617,128.44,465.57,1,6,5
