SMILES,BA_predicted,LogP,QED,TPSA,MW,HBD,HBA,RotBonds
Cc1cc(c2ccc(-c3c(N(=O)=O)cc(C(=O)O)nc3c3ccccc3)cc2)ccc1Oc1ccc(S(=O)(=O)c2ccc(N(=O)=O)cc2)cc1,-8.994,8.531,0.108,179.84,687.69,1,9,10
COOC(=O)c1ccc(N2C(=O)c3ccccc3C2c2ccc(C(=O)c3cccc(C(=O)c4cccc(N(=O)=O)c4)c3)cc2)cc1,-8.9737,6.525,0.079,133.12,612.59,0,8,9
Cc1ccc(C(=O)c2ccc(N3C(=O)C(CC(=O)c4ccc(S(=O)(=O)c5ccc(C(=O)O)cc5)cc4)=CN3Cc3ccccc3)cc2)cc1,-8.9028,6.183,0.163,132.51,670.74,1,6,11
O=C(c1ccc(C(=O)c2ccc(N(=O)=O)cc2)cc1)c1ccc(-c2ccc(C(=O)c3ccc(C(=O)c4ccccc4)c(Cl)c3)cc2)cc1,-8.8727,8.839,0.083,111.42,650.09,0,6,10
CN(c1cccc(C(=O)c2ccc(N(=O)=O)cc2)c1)c1cccc(C(=O)c2ccc(S(=O)(=O)c3cccc(N(=O)=O)c3)cc2)c1,-8.8214,6.566,0.096,157.8,621.63,0,9,10
COc1ccc(c2ccc(S(=O)(=O)c3ccc(C(=O)Oc4cccc(C(=O)c5ccccc5)c4)cc3)cc2)cc1C(=O)c1ccc(N(=O)=O)cc1,-8.7856,7.784,0.044,146.95,697.72,0,9,11
CCOc1ccc(Oc2ccc(C(=O)c3ccc(C(=O)c4ccc(C(=O)c5cccc(C(=O)c6ccc(C(C)=O)cc6)c5)cc4)cc3)cc2)cc1,-8.7651,9.004,0.113,103.81,672.73,0,7,13
COc1ccccc1C(=O)Nc1ccc(-c2ccc(S(=O)(=O)c3ccc(C(=O)c4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc3)cc2)cc1,-8.7562,7.479,0.123,126.92,692.75,1,7,9
CN1C(=O)c2ccccc2N=C1c1ccc(C(=O)c2ccc(N3Cc4ccccc4C3=O)cc2)cc1,-8.7518,4.992,0.346,72.27,471.52,0,4,4
COc1ccc(Oc2ccc(C(=O)c3ccc(N(=O)=O)cc3)cc2)cc1C(=O)c1ccc(N(=O)=O)cc1,-8.7266,5.766,0.161,138.88,498.45,0,8,9
COC(=O)c1ccc(C(=O)c2cc(C(=O)Oc3ccc(C(=O)c4ccccc4)cc3)ccc2Oc2ccc(S(=O)(=O)c3ccccc3)cc2)cc1,-8.7057,7.78,0.076,130.11,696.73,0,9,11
Cc1cccc(C(=O)c2ccc(C(=O)c3ccc(-c4ccc(N5c6ccccc6C(=O)C5OCc5ccccc5)cc4)nc3)cc2)c1,-8.6985,8.396,0.152,76.57,614.7,0,6,9
COc1ccc(C(=O)c2cccc(C(=O)c3ccccc3NC(=O)c3ccc(C(=O)c4ccc(N(=O)=O)cc4)cc3)c2)cc1,-8.6531,6.549,0.112,132.68,584.58,1,7,10
